Apertura,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18
Nivel general,85.5,89.1,91.9,93.7,93.9,95.0,97.2,98.8,100.0,101.3,103.8,106.3,109.1,110.5,112.0,113.9,115.6,118.0,119.5,120.9,125.0,127.0,130.3,133.5,136.9,139.6,145.1,149.1
Estacionales,89.9,93.7,96.3,99.6,95.3,99.2,101.1,101.6,100.0,101.6,102.1,105.9,108.5,108.0,109.6,110.1,111.5,117.2,119.8,121.0,121.2,125.2,124.0,127.3,126.8,130.8,135.0,140.5
Núcleo,85.4,87.6,90.3,92.0,93.5,94.9,96.7,98.3,100.0,101.3,103.2,105.1,107.5,109.2,110.9,112.8,114.5,116.5,117.9,119.4,121.8,123.5,126.2,129.3,132.1,135.4,141.1,145.2
Regulados,84.0,91.3,94.5,96.3,94.6,93.3,97.2,99.1,100.0,101.1,106.3,109.9,113.9,115.2,116.4,118.8,120.6,122.5,124.1,125.2,136.4,138.1,145.1,148.5,155.8,155.7,161.2,164.5
